name,one_liner,website,team_size,batch,location,industry,tags
Streak,Streak transforms Gmail into a powerful CRM,http://streak.com,35.0,Summer 2011,Remote,B2B,SaaS
Beacons,"An AI-powered, all-in-one business platform for content creators",https://beacons.ai/,35.0,Summer 2019,"San Francisco, CA, USA",Consumer,SaaS
SwiftSku,Management and analytics software for convenience stores,https://swiftsku.com,35.0,Winter 2021,"New York, NY, USA; Remote",B2B,Fintech; SaaS; B2B; Analytics; Retail Tech
BlueCargo,The automated solution for complex freight transactions.,http://www.bluecargo.io/,35.0,Summer 2018,"Los Angeles, CA, USA",B2B,Logistics; Supply Chain
UpCodes,"AI platform for unifying codes, assemblies, products, and specs",https://up.codes/,35.0,Summer 2017,"Austin, TX, USA; Remote",Real Estate and Construction,GovTech; Construction; B2B
OneChronos,The Smart Market for Institutional Investors,https://www.onechronos.com/,35.0,Summer 2016,"New York, NY, USA",Fintech,Fintech; Marketplace; AI
REVER,Changing the way people buy by giving superpowers to shoppers,https://itsrever.com/,35.0,Summer 2022,"Barcelona, CT, Spain; CT, Spain",Fintech,Fintech; SaaS; B2B; Logistics; E-commerce
Landeed,"Landeed is India’s digital infrastructure for property intelligence,…",https://www.landeed.com/,35.0,Summer 2022,"Hyderabad, Telangana, India",Fintech,Documents; Artificial Intelligence; Fintech; Legal; Proptech
Peoplebox.ai,"AI talent platform to hire, manage, and grow your people ",https://www.peoplebox.ai,35.0,Summer 2022,"San Francisco, CA, USA",B2B,SaaS; B2B; Recruiting; HR Tech; AI
Writesonic,Track & Boost Your Brand’s Visibility in AI Search,https://writesonic.com/,35.0,Summer 2021,"San Francisco, CA, USA; Remote",B2B,Generative AI; SaaS; B2B; AI
JuziBot,"Intercom for WeChat, help companies to acquire,  engage, retain…",https://www.juzibot.com/,34.0,Winter 2019,"Beijing, Beijing, China",B2B,Chatbot; Analytics; Customer Support
Baraka,Grow Your Wealth With Baraka,https://www.getbaraka.com/,34.0,Summer 2021,"Dubai, United Arab Emirates",Fintech,Fintech
Delve,AI that makes compliance effortless,https://delve.co/?utm_source=yc&utm_medium=bio&utm_campaign=delve,33.0,Winter 2024,"San Francisco, CA, USA",B2B,SaaS; B2B; Compliance; Cybersecurity; AI
Finley,Streamline your debt capital raise and management,https://www.finleycms.com,32.0,Winter 2021,"San Francisco, CA, USA",Fintech,Fintech; SaaS; Enterprise
SPRX,AI for corporate R&D tax credits,https://sprx.tax,32.0,Winter 2023,,B2B,
SnapMagic,AI copilot for electronics design,https://www.snapmagic.com,32.0,Summer 2015,"San Francisco, CA, USA",B2B,Developer Tools; Hardware; Marketplace; AI
Luminai,Luminai helps automate repetitive manual work away from your mission…,https://www.luminai.com,31.0,Summer 2020,"San Francisco, CA, USA",B2B,SaaS; B2B; Enterprise
Flagright,AI-native AML compliance platform for fintechs & banks,https://flagright.com,31.0,Winter 2022,"San Francisco, CA, USA",B2B,Artificial Intelligence; Fintech; B2B; Compliance; Regtech
MedMe Health,Software for pharmacies to move beyond dispensing,https://www.medmehealth.com,30.0,Winter 2021,"Toronto, ON, Canada; Remote",Healthcare,SaaS; B2B; Digital Health; Healthcare; Healthcare IT
Rollstack,Automate data-driven slide decks and documents with AI,https://www.rollstack.com,30.0,Winter 2023,"New York, NY, USA; Remote",B2B,Artificial Intelligence; Productivity; Analytics; Data Visualization
Acely,Every student's AI coach for college readiness,https://acely.com,30.0,Winter 2018,"San Francisco, CA, USA",Education,Education; eLearning; Consumer
Datafold,Automating manual and repetitive data engineering tasks with AI,https://datafold.com,30.0,Summer 2020,"New York, NY, USA; Remote",B2B,SaaS; Analytics; Data Engineering; AI
PolicyFly,Modernizing Specialty Insurance,https://www.policyfly.com,30.0,Winter 2022,"New York, NY, USA; Remote",Fintech,Marketplace; Insurance; AI
Recall.ai,"The API to get recordings, transcripts, and metadata from meetings",https://www.recall.ai,30.0,Winter 2020,"San Francisco, CA, USA",B2B,API; AI
RocketSDR,AI Native Sales Outreach Platform,https://rocketsdr.ai,30.0,Winter 2021,"Bengaluru, KA, India",B2B,Sales; AI
Kodex,Easiest way for companies to process data requests from governments,https://www.kodexglobal.com,30.0,Summer 2021,"Boston, MA, USA; Remote",B2B,GovTech; Compliance; LegalTech; Regtech
autarc,autarc is the OS for Europe's One-Stop Energy Installers,https://www.autarc.energy/en,30.0,Summer 2024,"Berlin, Berlin, Germany",B2B,Lidar; Computer Vision; B2B; Climate; AI
Stable,A virtual address + mailbox for business,https://useStable.com,30.0,Winter 2020,"San Francisco, CA, USA",B2B,B2B; Remote Work
Formance,Open Source Infrastructure for the Financial Internet,https://formance.com,30.0,Summer 2021,"Paris, Île-de-France, France",B2B,Developer Tools; Fintech; Payments; B2B; Open Source
Ankr Health,Virtualizing brick-mortar infrastructures of clinics w/ generative AI ,https://ankr.us,30.0,Winter 2022,"San Francisco, CA, USA; Remote",Healthcare,Generative AI; Telehealth; B2B; Digital Health; Telemedicine
Truewind,AI-Powered Accounting,https://www.trytruewind.com,30.0,Winter 2023,"San Francisco, CA, USA",B2B,Artificial Intelligence; Fintech; Generative AI; SaaS; B2B
Curacel,AI-Powered Infrastructure for Insurance & Healthcare,https://curacel.co,30.0,Winter 2022,"Lagos, LA, Nigeria",Fintech,SaaS; B2B; Insurance; Healthcare IT; AI
Vori,Vori is a modern operating system for supermarkets,https://www.vori.com,29.0,Winter 2020,"East Palo Alto, CA, USA",B2B,Grocery; SaaS; Retail Tech
Escape,The only DAST that works with modern stack and tests business logic,https://escape.tech,29.0,Winter 2023,"New York, NY, USA",B2B,Developer Tools; Security; API; GraphQL
Merlin AI,AI powered ERP for Construction,https://www.merlinai.co,28.0,Summer 2024,"Los Angeles, CA, USA",B2B,SaaS; Construction; B2B; Enterprise Software; AI
TaxGPT,AI tax assistant for professionals and businesses,https://www.taxgpt.com,28.0,Summer 2024,"San Francisco, CA, USA",B2B,Artificial Intelligence; Fintech; B2B
Topline Pro,Generative AI powered Shopify for home service professionals,https://www.toplinepro.com,28.0,Winter 2021,"New York, NY, USA; Boston, MA, USA",B2B,SaaS
Shuttle Central,Helping travel companies to sell transportation online,https://book.shuttlecentral.com/,28.0,Winter 2022,"Cancún, Q.R., Mexico",Consumer,B2B; Travel; E-commerce; Transportation; Mobility
D-ID,Enable creators and developers to generate realistic AI personas,http://www.d-id.com,27.0,Summer 2017,"Tel Aviv-Yafo, Tel Aviv District, Israel",B2B,Artificial Intelligence; Deep Learning; Generative AI; Entertainment
Blue Onion,Financial data layer for AI-powered finance and accounting,https://www.blueonion.ai/,27.0,Summer 2020,"New York, NY, USA",B2B,Machine Learning; Finance; AI
KaiPod Learning,A national network of microschools bringing school choice to every…,http://www.kaipodlearning.com,27.0,Summer 2021,"Boston, MA, USA",Education,Education; eLearning; Consumer
Yuma AI,The AI Support Agent for Ecommerce,https://yuma.ai,26.0,Winter 2023,"Boston, MA, USA",B2B,Artificial Intelligence; Customer Support; AI; Conversational AI; AI Assistant
OneSchema,Automate CSV & PDF workflows with AI,https://www.oneschema.co,25.0,Summer 2021,"San Francisco, CA, USA",B2B,SaaS; B2B; Workflow Automation; No-code; AI
MindFi,Transforming Mental Health for Corporate Asia,https://www.mindfi.co,25.0,Summer 2021,"Singapore, Singapore",B2B,Machine Learning; Mental Health Tech; B2B; HR Tech; Health & Wellness
Presti AI,Helping furniture companies create product visuals with AI,https://www.presti.ai/,25.0,Summer 2024,,B2B,Artificial Intelligence; B2B; E-commerce; AI
NewsCatcher,"We transform public web data into live signals that power search,…",https://newscatcherapi.com/,25.0,Summer 2022,"Kyiv, Ukraine; Remote",B2B,Artificial Intelligence; SaaS; Enterprise; Big Data; Enterprise Software
Jiga,Source better parts by partnering directly with vetted manufacturers,https://jiga.io,25.0,Winter 2021,Remote,B2B,B2B; Manufacturing; Supply Chain
VetRec,AI Scribe for veterinarians. Saving time and improving patient care.,https://vetrec.io,25.0,Summer 2023,"Seattle, WA, USA",B2B,Generative AI; Health Tech; AI
Fathom,Never take notes again with the #1 AI Meeting Assistant,https://fathom.video,25.0,Winter 2021,"San Francisco, CA, USA; Remote",B2B,SaaS; B2B
AlemHealth,AI Radiologist in a Box - We provide a vertically integrated AI…,https://www.alemhealth.com,25.0,Winter 2017,"Singapore, Singapore",Healthcare,Health Tech; AI
MDalgorithms Inc.,Democratizing Dermatology with AI ,https://www.mdalgorithms.com,25.0,Winter 2017,"San Francisco, CA, USA; Remote",Healthcare,Consumer Health Services; Consumer; Healthcare; Telemedicine; AI
SpruceID,SpruceID lets users control their data across the web.,https://www.spruceid.com,25.0,Winter 2021,"New York, NY, USA; Remote",Government,GovTech; Crypto / Web3; Identity; Privacy; Infrastructure
Atomic Industries,The world's first AI powered tool and die maker,http://atomic.industries,25.0,Winter 2021,"Detroit, MI, USA",Industrials,Hard Tech; Manufacturing; AI
Apero Health,Modern medical billing,https://www.aperohealth.com,24.0,Summer 2019,"San Francisco, CA, USA",Healthcare,Health Tech; Finance; Digital Health; Enterprise Software
FamPay,India’s first neobank for teenagers,https://fampay.in,24.0,Summer 2019,"Bengaluru, KA, India",Fintech,Fintech; Payments
Laylo,The CRM powering iconic musicians and events,https://laylo.com,24.0,Summer 2020,"Los Angeles, CA, USA; Remote",B2B,SaaS; Messaging; Enterprise; CRM; Creator Economy
Rutter,The Unified API for Business Financial Data,https://rutter.com,24.0,Summer 2019,"New York, NY, USA",B2B,Developer Tools; Fintech; B2B
Vellum,The AI Product Development Platform,https://www.vellum.ai/,23.0,Winter 2023,"New York, NY, USA",B2B,Developer Tools; SaaS; AI
IMT Care,Disrupting Indian Insurance space by empowering distrubutors,https://www.imt.care,23.0,Winter 2022,"MH, India",Healthcare,Healthcare; Insurance; India
Cinder,"Cinder | Responsible AI, Trust & Safety, and Data Labeling At Scale",http://www.cinder.co,23.0,Winter 2022,"New York, NY, USA",B2B,SaaS; B2B; Compliance; Trust & Safety; AI
"DreamCraft Entertainment, Inc.",Platform that allows anyone to create and monetize video games.,https://www.dreamcraft.com/,23.0,Summer 2018,"Redwood City, CA, USA",Consumer,Developer Tools; Entertainment; Gaming
ArchForm,Replacing orthodontic braces with our clear aligner and software,http://archform.com,23.0,Winter 2018,"Sunnyvale, CA, USA",Healthcare,Robotics; Health Tech; Medical Devices; 3D Printing
Arist,Deliver effective learning at scale ,https://www.arist.co,23.0,Summer 2020,"New York, NY, USA; Remote",B2B,Education; eLearning
Nextmv,A DecisionOps platform that accelerates optimization AI teams,https://nextmv.io,22.0,Winter 2020,"Philadelphia, PA, USA; Remote",B2B,Logistics; Supply Chain; AI
kapa.ai,The fastest way to build AI assistants on technical content,https://www.kapa.ai,22.0,Summer 2023,Remote,B2B,Artificial Intelligence; Generative AI; AI; Conversational AI; AI Assistant
Tandem,AI-native office leasing agent,https://tandem.space/,22.0,Summer 2024,,B2B,Marketplace; Real Estate; B2B; Proptech
Carbonfact,Decarbonizing the fashion industry,http://www.carbonfact.com,22.0,Summer 2021,"Paris, Île-de-France, France",Industrials,SaaS; Sustainable Fashion; Climate
Datrics,Generative AI Healthcare Coding Automation,https://datrics.ai,22.0,Winter 2021,"San Francisco, CA, USA; Remote",Healthcare,B2B; Analytics; Healthcare; Health Insurance; AI
SkyLink,Travel Management Meets AI,http://www.tryskylink.com,22.0,Winter 2022,"New York, NY, USA",B2B,Travel; AI
Keeper,AI tax filing for complex returns,https://keepertax.com,21.0,Winter 2019,"San Francisco, CA, USA",Fintech,Fintech; Consumer
Freterium,Real-Time Collaborative Transport Management Platform,https://www.freterium.com,21.0,Summer 2021,"Casablanca, Casablanca-Settat, Morocco",B2B,Logistics; Supply Chain
IOMETE,Self-hosted data lakehouse platform,https://www.iomete.com/,21.0,Winter 2022,"Mountain View, CA, USA; Remote",B2B,Analytics
Infracost,Shift FinOps Left: Proactively Find & Fix Cloud Cost Issues,https://infracost.io,20.0,Winter 2021,Remote,B2B,Developer Tools; DevSecOps; FinOps; B2B; Open Source
Mutiny,AI for Enterprise GTM,https://www.mutinyhq.com,20.0,Summer 2018,"New York, NY, USA",B2B,Artificial Intelligence; SaaS; B2B
Anima,The next generation care enablement platform,http://www.animahealth.com,20.0,Winter 2021,"London, England, United Kingdom; Remote",Healthcare,Deep Learning; SaaS; Consumer Health Services
ClaimSorted,Making it easy for insurance companies to process claims,https://claimsorted.com,20.0,Summer 2024,,Fintech,
JustPaid,Billing Automation for B2B that actually works.,https://www.justpaid.ai,20.0,Winter 2023,"Mountain View, CA, USA; Remote",Fintech,AI-Enhanced Learning; Artificial Intelligence; Fintech; AI; AI Assistant
Neodocs,Instant lab tests on your smartphone,https://www.neodocs.in,20.0,Summer 2021,"MH, India",Healthcare,Artificial Intelligence; Consumer Health Services; Medical Devices
Toma,AI for Underserved Industries,http://www.toma.com/,20.0,Winter 2024,"San Francisco, CA, USA",B2B,Marketing; Customer Support; AI; Automotive; Conversational AI
DreamWorld,DreamWorld is a next-gen Minecraft with generative AI building,https://www.playdreamworld.com/,20.0,Winter 2021,"Redwood City, CA, USA",Consumer,Gaming
New Story,We pioneer solutions to end the global housing crisis by empowering…,http://newstoryhomes.org,20.0,Summer 2015,"Atlanta, GA, USA",Real Estate and Construction,Fintech; Nonprofit; Housing
amiloz,Micro-lender in Mexico,https://www.beloz.com.mx/,20.0,Winter 2022,"Mexico City, CDMX, Mexico",Fintech,Fintech; Lending; Consumer Finance
Finku,AI powered personal finance app for Indonesia,http://finku.id,20.0,Winter 2022,"Jakarta, Jakarta, Indonesia",Fintech,Fintech; AI Assistant
Swif.ai,The guardrail for AI on every device,https://www.swif.ai,20.0,Summer 2020,"Sunnyvale, CA, USA",B2B,SaaS; B2B; Compliance; Security; Enterprise
Pasito,AI agents for insurance and benefits,https://pasito.ai,20.0,Summer 2022,"New York, NY, USA; Remote",Fintech,Health Tech; Insurance; AI
HOMLI,Sell your home without brokers,https://thehomli.com,20.0,Summer 2022,"New York, NY, USA",Real Estate and Construction,Artificial Intelligence; Real Estate; Consumer; Proptech; AI
Handoff,AI estimator & agent for remodelers.,https://www.handoff.ai/,20.0,Winter 2020,"Austin, TX, USA",Real Estate and Construction,Machine Learning; Construction; B2B; Proptech; API
Nestor,Skills-based talent management solutions for a dynamic workforce.,https://nestorup.com,20.0,Summer 2018,"San Jose, CA, USA; Remote",B2B,SaaS; HR Tech
Accord,The Revenue Excellence Platform,https://inaccord.com,20.0,Winter 2020,"San Francisco, CA, USA",B2B,SaaS; B2B
Nira Energy,Software to find the best sites for renewables on the electrical grid,https://www.niraenergy.com/,20.0,Winter 2022,Remote,Industrials,Solar Power; Climate; Energy; Renewable Energy; ClimateTech
F2,The AI platform for private markets investors,http://f2.ai,20.0,Summer 2025,"New York, NY, USA",B2B,AI
Crustdata,Real-time B2B data via simple APIs,https://crustdata.com,20.0,Fall 2024,,B2B,
Openlayer,The fastest way to ship airtight AI,https://openlayer.com,19.0,Summer 2021,"San Francisco, CA, USA",B2B,AIOps; Developer Tools; Generative AI; Machine Learning; AI
Hedgehog,Building robotic mushroom farms,http://hedgehogfoods.com,18.0,Summer 2022,"San Francisco, CA, USA",Industrials,Robotics; Climate; Food Tech; Agriculture; AI
Eventual,Building the AI data engine for any modality and scale,https://www.daft.ai/,18.0,Winter 2022,"San Francisco, CA, USA",B2B,Computer Vision
JITX,Automatic circuit board design.,http://www.jitx.com,18.0,Summer 2018,"Berkeley, CA, USA",Industrials,Automation; AI
Mine (formerly Fizz),The AI personal finance company. ,https://usemine.com/,18.0,Summer 2021,"New York, NY, USA",Fintech,Fintech; Consumer; Consumer Finance; AI
Reforged Labs,"Turn intuition into insights, in minutes",https://reforgedlabs.com/,18.0,Winter 2022,"San Francisco, CA, USA",Consumer,Generative AI; B2B; Gaming; Advertising; AI
Saturn,Compliance and back office workflows for Wealth Managers.,https://www.SaturnOS.com,18.0,Summer 2024,"London, England, United Kingdom",Fintech,Fintech; Generative AI; B2B
Magna,Carta for Web3: token vesting and DeFi investment management. ,https://magna.so,18.0,Winter 2022,"New York, NY, USA",Fintech,DeFi; DAO
KorrAI,AI-native workspace for end-to-end desktop studies,https://www.korrai.com,17.0,Winter 2022,"Toronto, ON, Canada",Real Estate and Construction,Artificial Intelligence; Construction; Insurance; AI
Hyperbound,AI Sales Performance OS,https://hyperbound.ai,17.0,Summer 2023,"San Francisco, CA, USA",B2B,AI-Enhanced Learning; B2B; Sales; Sales Enablement; Conversational AI
Lucis,Function Health for Europe ,https://www.lucis.life,17.0,Spring 2025,"Paris, Île-de-France, France",Healthcare,
Inkeep,Build AI Agent teammates and automations in code or no-code,https://inkeep.com,17.0,Winter 2023,"San Francisco, CA, USA",B2B,Developer Tools; Workflow Automation; Customer Support; No-code; AI Assistant
Metriport,Open-Source Platform for Healthcare Data Intelligence,https://metriport.com/,16.0,Summer 2022,"San Francisco, CA, USA",Healthcare,Artificial Intelligence; B2B; Digital Health; Healthcare; API
Scispot,The Best Data Infrastructure for Biotechs,https://scispot.io,16.0,Summer 2021,"Kitchener, ON, Canada",B2B,Generative AI; SaaS; B2B; AI
CarbonChain,We help companies automate the accounting of their carbon emissions,https://carbonchain.com,16.0,Summer 2020,"London, England, United Kingdom",Industrials,Climate
AI Insurance,AI Insurance is the platform that runs insurance companies,https://www.aiinsurance.io,16.0,Winter 2019,"San Francisco, CA, USA",Fintech,Artificial Intelligence; Insurance
Cofactr,Cloud pre-factory logistics and procurement for electronics,https://www.cofactr.com/,15.0,Winter 2022,"New York, NY, USA",B2B,Hardware; B2B; Logistics; Supply Chain
Activeloop,Database for AI,https://activeloop.ai/,15.0,Summer 2018,"Mountain View, CA, USA",B2B,Computational Storage; Deep Learning; Generative AI; Computer Vision; Open Source
Sepal AI,Data Development for Advanced AI,https://www.sepalai.com,15.0,Summer 2024,"San Francisco, CA, USA",B2B,AIOps; Reinforcement Learning; Data Labeling; AI
Blee,"Smart, fast, and collaborative compliance reviews ",https://www.blee.com,15.0,Summer 2022,"New York, NY, USA",Fintech,Fintech; LegalTech; AI
Toothy AI,AI for insurance verification & billing at dental clinics,https://www.toothy.ai/,15.0,Winter 2025,"San Francisco, CA, USA",Healthcare,Artificial Intelligence; Health Tech; Healthcare; Dental; Conversational AI
ModernLoop,ModernLoop helps teams automate and streamline recruiting operations,http://modernloop.io,15.0,Winter 2021,"San Mateo, CA, USA",B2B,B2B; Recruiting; Productivity; HR Tech; Remote Work
DigiBuild,We buy & track building materials for construction companies.,https://digibuild.com,15.0,Summer 2021,"Miami, FL, USA",Real Estate and Construction,Artificial Intelligence; SaaS; Supply Chain; AI; ML
Thera,AI-Native Finance OS,https://www.getthera.com,15.0,Summer 2022,"New York, NY, USA",B2B,Artificial Intelligence; Fintech; B2B; Payroll; Cryptocurrency
Hypotenuse AI,"Manage, create & optimize your ecommerce product content using AI",https://hypotenuse.ai/,15.0,Summer 2020,"San Francisco, CA, USA",B2B,Generative AI; Machine Learning; E-commerce; AI
Sourcify,Sourcify helps brands manufacture products in Asia.,https://www.sourcify.com/,15.0,Winter 2018,"San Diego, CA, USA; Remote",B2B,Manufacturing; Supply Chain
Numero,Modern fundraising software for political campaigns and nonprofits.,https://www.numero.ai,15.0,Winter 2019,"San Francisco, CA, USA; Remote",Fintech,Fintech; SaaS
Firecrawl,The web data API for AI,https://www.firecrawl.dev,15.0,Summer 2022,"San Francisco, CA, USA",B2B,Artificial Intelligence; Developer Tools; Open Source
Sunflower,Building the Sobriety Platform for the future of Superintelligence. 🌻,https://sunflowersober.com/,15.0,Fall 2025,,Consumer,
MobileBoost,AI native mobile testing.,https://www.mobileboost.io/yc,15.0,Summer 2021,"San Francisco, CA, USA; Remote",B2B,Artificial Intelligence; Developer Tools; Generative AI; B2B; No-code
Central,"Payroll, benefits, state compliance & other bullsh*t for startups",https://centralhq.com,15.0,Summer 2024,"San Francisco, CA, USA",B2B,Fintech; B2B; HR Tech; Payroll; AI
Serif Health,Healthcare Price Transparency APIs and Data Products,https://www.serifhealth.com,15.0,Winter 2022,"Los Angeles, CA, USA; Remote",Healthcare,Artificial Intelligence; Health Tech; Analytics; Healthcare; API
Velt,Add powerful collaboration features to your product ridiculously fast.,https://velt.dev,15.0,Winter 2022,"San Francisco, CA, USA",B2B,Developer Tools; SaaS; Collaboration; API; Remote Work
Per Diem,The AI operating system for restaurants,https://tryperdiem.com,15.0,Winter 2021,"New York, NY, USA; Remote",B2B,Payments; Consumer; B2B
Cekura,Voice AI and Chat AI agents: Testing and Observability,https://www.cekura.ai/,15.0,Fall 2024,"San Francisco, CA, USA",B2B,Developer Tools; SaaS; B2B
Carma,The AI Operating System For Modern Fleets.,https://www.joincarma.com/,15.0,Winter 2024,"San Francisco, CA, USA",B2B,B2B; Workflow Automation; Compliance; AI; Automotive
Lamar Health,Take Care of Shitty Paperwork for Expensive Drugs,http://www.lamarhealth.com,15.0,Winter 2021,"San Mateo, CA, USA",Healthcare,Health Tech; AI
Mach9,The Fastest Tool for Automating Geospatial Production,https://www.mach9.ai/,15.0,Summer 2021,"San Francisco, CA, USA; Pittsburgh, PA, USA",B2B,Machine Learning; Computer Vision; Infrastructure; AI
Cogram,"The AI Platform for Architects, Builders, and Engineers",https://cogram.com,15.0,Winter 2022,"New York, NY, USA",B2B,Artificial Intelligence; B2B
Noloco,Flexible Business Apps for Modern Teams,https://noloco.io,15.0,Summer 2021,"Dublin, County Dublin, Ireland",B2B,Developer Tools; SaaS; No-code
Bot MD,AI Clinical Assistant for Doctors,https://www.botmd.io,15.0,Summer 2018,"Singapore, Singapore",Healthcare,
Trébol,"Your back-office, on autopilot",https://gotrebol.com/,14.0,Winter 2022,"Bogotá, Bogota, Colombia",B2B,Fintech; SaaS; B2B; Legal; Enterprise
ProSights,ProSights is an AI-native data extraction tool for financial…,https://prosights.co/,14.0,Winter 2024,"New York, NY, USA",B2B,Fintech; Analytics; Enterprise Software; Investments; AI
Intryc,Intryc uses AI to automate quality assurance for customer support,https://intryc.com,14.0,Summer 2024,"San Francisco, CA, USA; Remote",B2B,Customer Success; Analytics; Customer Support; Operations
Taskade,One prompt. One app. One living workspace for teams.,https://www.taskade.com,14.0,Summer 2019,"San Francisco, CA, USA",B2B,Artificial Intelligence; Generative AI; SaaS; B2B; Collaboration
Waydev,"The Engineering Intelligence Platform | DORA, SPACE, DX, CORE 4 ",https://waydev.co/,13.0,Winter 2021,"Menlo Park, CA, USA",B2B,AI-Enhanced Learning; Enterprise; Data Engineering; Data Visualization; AI
Caribou,Full-stack Transfer Pricing for global startups,https://usecaribou.com,13.0,Winter 2019,"London, England, United Kingdom",Fintech,Fintech; SaaS; B2B; LegalTech
Mederva Health,Longevity medicine for the 99%.,https://medervahealth.com/,13.0,Winter 2022,"San Francisco, CA, USA",Healthcare,Consumer Health Services; Telehealth; Digital Health; Healthcare
Courtyard.io,"A frictionless, safe, and fun experience to invest in collectibles",https://courtyard.io,13.0,Winter 2022,"San Francisco, CA, USA; Remote",Fintech,Marketplace; Sports Tech; Consumer
Telmai,Automated data observability and quality for Data Lake,https://www.telm.ai/,12.0,Summer 2021,"San Francisco, CA, USA; Foster City, CA, USA; Remote",B2B,Analytics; AI; ML
Cosine,Fully Agentic SWE,http://www.cosine.sh,12.0,Winter 2023,"London, England, United Kingdom",B2B,Artificial Intelligence; Developer Tools; Generative AI; Machine Learning; NLP
Atlas,"Operating system for restaurants, focusing on Southeast Asia",https://atlas.kitchen,12.0,Summer 2021,"Singapore, Singapore",B2B,Restaurant Tech
Svix,"Enterprise ready webhooks service, open-source and in the cloud",https://www.svix.com,12.0,Winter 2021,"New York, NY, USA; San Francisco, CA, USA; Remote",B2B,Developer Tools; Open Source; API
Gigwell,Building the Future of Live Event Bookings.,https://www.gigwell.com,12.0,Winter 2016,"Los Angeles, CA, USA",B2B,Marketplace; SaaS; Entertainment
Infinia,Move money programmatically,https://www.infiniaweb.com/,12.0,Winter 2023,,Fintech,Payments; Cryptocurrency
inBuild,Workflow Automation for Construction Finance ,https://www.inbuild.ai/,12.0,Winter 2023,"Wilmington, DE, USA; San Francisco, CA, USA; Aspen, CO, USA",B2B,AI-Enhanced Learning; Fintech; Payments; Construction; Proptech
DeepSource,"Unified DevSecOps platform, helping developers ship good code.",https://deepsource.com/,12.0,Winter 2020,"San Francisco, CA, USA",B2B,Developer Tools; SaaS; AI; AI Assistant
Cartage,Autonomous freight coordination,https://cartage.ai,12.0,Summer 2024,"San Francisco, CA, USA",B2B,Artificial Intelligence; Machine Learning; Workflow Automation; Logistics; Supply Chain
Vendah,Vendah is building a Faire-style marketplace for LATAM’s +50M…,https://vendah.com.br/,12.0,Winter 2023,"São Paulo, SP, Brazil",Consumer,Marketplace
Dover,Your startup's all-in-one recruiting solution,https://dover.com,12.0,Summer 2019,"New York, NY, USA; Remote",B2B,B2B; Recruiting
Aden,Scale AI agents profitably,https://adenhq.com/,12.0,Winter 2020,"San Francisco, CA, USA",B2B,Developer Tools; Infrastructure; AI
Skypher,AI agent for Compliance Questionnaires Automation,https://skypher.co,12.0,Winter 2020,"New York, NY, USA",B2B,Artificial Intelligence; Generative AI; Compliance; Cybersecurity; AI Assistant
Typewise,Boosting customer service and sales productivity by 2-3x.,https://typewise.app,12.0,Summer 2022,"Zürich, ZH, Switzerland",B2B,Machine Learning; B2B; Productivity; API; AI
Paladin,We deploy autonomous drones to 911 calls. Our software gives first…,http://paladindrones.io,12.0,Summer 2018,"Houston, TX, USA",Industrials,SaaS; Drones; GovTech
Heimdal,Affordable and verified direct air carbon capture and storage,https://www.heimdalccu.com,12.0,Summer 2021,"Denver, CO, USA",Industrials,Carbon Capture and Removal; Climate
Letter AI,"Empowering B2B sellers with AI-powered training, coaching, and content",https://www.letter.ai,12.0,Summer 2023,"Chicago, IL, USA",B2B,
Zensors,AI to understand and automates the physical world,https://www.zensors.com,12.0,Summer 2021,"San Francisco, CA, USA",B2B,AIOps; Artificial Intelligence
Distro,The AI co-pilot for sales reps at industrial wholesale distributors.,https://distro.app,11.0,Summer 2024,"Palo Alto, CA, USA",B2B,SaaS; B2B; Manufacturing; Supply Chain; AI
AirMyne,Building systems to remove carbon dioxide from air at industrial scale,http://www.airmyne.com,11.0,Winter 2022,"Berkeley, CA, USA",Industrials,Carbon Capture and Removal; Hard Tech; Hardware; Climate
Legion Health,"AI-native psychiatry, built for scale and covered by insurance",https://legionhealth.com,11.0,Summer 2021,"San Francisco, CA, USA",Healthcare,Artificial Intelligence; Consumer Health Services; Telehealth; Healthcare; Mental Health
Capitol AI,"Model-agnostic AI for enterprises: governed, embedded, decision-grade.",https://www.capitol.ai/,11.0,Summer 2024,"Washington, DC, USA",B2B,AI-Enhanced Learning; Artificial Intelligence; Workflow Automation; Analytics; Media
Odys Aviation,Vertical takeoff and landing aircraft for major airlines,https://www.odysaviation.com/,11.0,Summer 2021,"Los Angeles, CA, USA",Industrials,Hard Tech; Airplanes; Climate
Conduit,Conversational AI agents for Customer Service.,https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,11.0,Winter 2024,"San Francisco, CA, USA",B2B,Messaging; Sales; Customer Service; Customer Support; AI
Findly,Co-pilot for Business Intelligence,https://www.findly.ai/join,11.0,Summer 2022,"London, England, United Kingdom",B2B,Artificial Intelligence; Generative AI; B2B; Chatbot; Data Engineering
mdhub,"AI workers for healthcare clinics, starting with behavioral health",https://www.mdhub.ai/,11.0,Summer 2024,,Healthcare,
Wasmer,The Operating System for Edge Computing,https://wasmer.io,11.0,Summer 2019,"San Francisco, CA, USA; Remote",B2B,Developer Tools; Open Source
Flockjay,"AI-driven learning, content, and coaching for sales teams",https://flockjay.com,10.0,Winter 2019,"San Francisco, CA, USA; Remote",B2B,Artificial Intelligence; SaaS; eLearning; Productivity; Sales
